Part Number,Customer,Sales forecast,date
EEFCX0G151ZR,PICS/WA2,0.0,2025-07-01
EEFCX0G151ZR,PICS/COM,3500.0,2025-08-01
EEFCX0G151ZR,PICS/WA2,0.0,2025-08-01
EEFCX0G151ZR,PICS/COM,3500.0,2025-09-01
EEFCX0G151ZR,PICS/WA2,0.0,2025-09-01
EEFCX0G181XR,PST/FOX,21000.0,2025-03-01
EEFCX0G181XR,PST/FOXC,0.0,2025-03-01
EEFCX0G181XR,PST/FOX,31500.0,2025-04-01
EEFCX0G181XR,PST/FOXC,0.0,2025-04-01
EEFCX0G181XR,PST/FOX,10500.0,2025-05-01
EEFCX0G181XR,PST/FOXC,0.0,2025-05-01
EEFCX0G181XR,PST/FOX,28000.0,2025-06-01
EEFCX0G181XR,PST/FOXC,0.0,2025-06-01
EEFCX0G181XR,PST/FOX,17500.0,2025-07-01
EEFCX0G181XR,PST/FOXC,0.0,2025-07-01
EEFCX0G181XR,PST/FOX,17500.0,2025-08-01
EEFCX0G181XR,PST/FOXC,0.0,2025-08-01
EEFCX0G181XR,PST/FOX,17500.0,2025-09-01
EEFCX0G181XR,PST/FOXC,0.0,2025-09-01
EEFCX0G221R,PSI/IMAC,0.0,2025-03-01
EEFCX0G221R,PST/IECS,0.0,2025-03-01
EEFCX0G221R,PSI/IMAC,0.0,2025-04-01
EEFCX0G221R,PST/IECS,0.0,2025-04-01
EEFCX0G221R,PSI/IMAC,0.0,2025-05-01
EEFCX0G221R,PST/IECS,0.0,2025-05-01
EEFCX0G221R,PSI/IMAC,0.0,2025-06-01
EEFCX0G221R,PST/IECS,0.0,2025-06-01
EEFCX0G221R,PSI/IMAC,0.0,2025-07-01
EEFCX0G221R,PST/IECS,0.0,2025-07-01
EEFCX0G221R,PSI/IMAC,0.0,2025-08-01
EEFCX0G221R,PST/IECS,0.0,2025-08-01
EEFCX0G221R,PSI/IMAC,0.0,2025-09-01
EEFCX0G221R,PST/IECS,0.0,2025-09-01
EEFCX0G221XR,PSA/CISC,24500.0,2025-03-01
EEFCX0G221XR,PSI/AVNF,7000.0,2025-03-01
